,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
31,28.56361488164948,77.23481186455597,Nizam's Kathi Kabab,28.566758665459037,77.23405175350277,Indian Restaurant
32,28.56361488164948,77.23481186455597,1Oak Cafe and Bar,28.56643108508522,77.23384584424532,Café
33,28.56361488164948,77.23481186455597,Domino's Pizza,28.566,77.233,Pizza Place
34,28.56361488164948,77.23481186455597,Flavors of Italy,28.56637302060959,77.2337753594461,Italian Restaurant
35,28.56361488164948,77.23481186455597,Flavor's P'tit Bar,28.566227,77.233347,French Restaurant
36,28.56361488164948,77.23481186455597,Southy,28.56289562615578,77.23812132191244,Indian Restaurant
37,28.56361488164948,77.23481186455597,Nizam's,28.566703265916846,77.23407420672022,Indian Restaurant
38,28.563513764056083,77.24094174453614,The Colony Bistro,28.562757851459267,77.24445098931356,Café
39,28.563513764056083,77.24094174453614,Tibet Kitchen,28.56383374764689,77.24510964985622,Restaurant
40,28.563513764056083,77.24094174453614,Nagpal Chole Bhature,28.563835809658503,77.24056328480142,North Indian Restaurant
41,28.563513764056083,77.24094174453614,Chulha Chonkha,28.56382516618992,77.2414154006553,Indian Restaurant
42,28.563513764056083,77.24094174453614,Soya Express,28.561231,77.2410945,Indian Restaurant
43,28.563513764056083,77.24094174453614,Cafe Coffee Day,28.56123459911954,77.24110264265359,Café
44,28.563513764056083,77.24094174453614,Southy,28.56289562615578,77.23812132191244,Indian Restaurant
45,28.563412369954516,77.24707159288327,The Colony Bistro,28.562757851459267,77.24445098931356,Café
46,28.563412369954516,77.24707159288327,Tibet Kitchen,28.56383374764689,77.24510964985622,Restaurant
47,28.563412369954516,77.24707159288327,Pind Balluchi,28.56770549643606,77.24689260904971,Restaurant
48,28.563412369954516,77.24707159288327,Costa Coffee,28.567200723291588,77.24477591780726,Café
49,28.563412369954516,77.24707159288327,Domino's Pizza,28.567270799808384,77.24659118681836,Pizza Place
50,28.563412369954516,77.24707159288327,Kaka ji Chole Bhature,28.564248661455252,77.24659679951569,Fast Food Restaurant
51,28.563412369954516,77.24707159288327,Dolma Aunty Momos,28.567124816458094,77.24643964388936,Dumpling Restaurant
52,28.563412369954516,77.24707159288327,Pizza Hut Delivery,28.567679184968515,77.24673150417136,Pizza Place
53,28.568852943155644,77.20119453798124,Rajinder Da Dhaba,28.56526803045266,77.19913678473706,Indian Restaurant
