,Neighborhood_Latitude,Neighborhood_Longitude,indian_Venue,indian_Venue_Latitude,indian_Venue_Longitude,Distance,Venue_Category,neigh_lat_lon
65,28.57368873,77.19209619,Rdbd Rang de Basanti Dhaba,28.57655213,77.1952519,443,Indian Restaurant,28.573688731440956-77.19209618558294
66,28.57368873,77.19209619,Haldiram's,28.57637436,77.19526594,430,Indian Restaurant,28.573688731440956-77.19209618558294
67,28.57368873,77.19209619,Rang De Basanti Dhaba,28.57602268,77.19504976,388,Indian Restaurant,28.573688731440956-77.19209618558294
68,28.57368873,77.19209619,Southy,28.56956395,77.19223092,459,Indian Restaurant,28.573688731440956-77.19209618558294
69,28.57368873,77.19209619,Sagar Ratna,28.576366,77.195145,421,South Indian Restaurant,28.573688731440956-77.19209618558294
70,28.57368873,77.19209619,Rollmaal,28.57610443,77.19531929,414,Maharashtrian Restaurant,28.573688731440956-77.19209618558294
71,28.57358951,77.19822683,Rdbd Rang de Basanti Dhaba,28.57655213,77.1952519,439,Indian Restaurant,28.573589511090866-77.19822682707883
72,28.57358951,77.19822683,Haldiram's,28.57637436,77.19526594,424,Indian Restaurant,28.573589511090866-77.19822682707883
73,28.57358951,77.19822683,Rang De Basanti Dhaba,28.57602268,77.19504976,412,Indian Restaurant,28.573589511090866-77.19822682707883
74,28.57358951,77.19822683,Amar Jyoti Restaurant,28.57741729,77.1966613,452,Indian Restaurant,28.573589511090866-77.19822682707883
75,28.57349001,77.20435744,Curry Leaf,28.57323045,77.20278156,156,Indian Restaurant,28.573490014089-77.20435743753386
76,28.57349001,77.20435744,BijoliGrill,28.573012,77.206397,206,Indian Restaurant,28.573490014089-77.20435743753386
77,28.57349001,77.20435744,Bhoj Bhaat,28.573511,77.206529,212,Indian Restaurant,28.573490014089-77.20435743753386
78,28.57349001,77.20435744,Navdanya Organic Cafe,28.57290268,77.20645142,214,Indian Restaurant,28.573490014089-77.20435743753386
79,28.57349001,77.20435744,Paamna Restaurant,28.573417,77.206851,243,Indian Restaurant,28.573490014089-77.20435743753386
80,28.57349001,77.20435744,Darbar-E-Awadh,28.57346344,77.20687866,246,Indian Restaurant,28.573490014089-77.20435743753386
81,28.57349001,77.20435744,Wah Delhi,28.57359745,77.20698696,257,Indian Restaurant,28.573490014089-77.20435743753386
82,28.57349001,77.20435744,Momo Mia,28.57329909,77.20695327,254,Northeast Indian Restaurant,28.573490014089-77.20435743753386
83,28.57349001,77.20435744,Nagaland Cookhouse,28.573076,77.20634,199,Northeast Indian Restaurant,28.573490014089-77.20435743753386
84,28.57339024,77.21048802,Appus Hotel,28.575048,77.21011,188,Indian Restaurant,28.573390240440528-77.21048801686173
85,28.57339024,77.21048802,Kerala Hotel,28.57407285,77.20992893,93,Indian Restaurant,28.573390240440528-77.21048801686173
86,28.57339024,77.21048802,Wah Delhi,28.57359745,77.20698696,343,Indian Restaurant,28.573390240440528-77.21048801686173
87,28.57339024,77.21048802,Darbar-E-Awadh,28.57346344,77.20687866,352,Indian Restaurant,28.573390240440528-77.21048801686173
88,28.57339024,77.21048802,Paamna Restaurant,28.573417,77.206851,355,Indian Restaurant,28.573390240440528-77.21048801686173
89,28.57339024,77.21048802,Bhoj Bhaat,28.573511,77.206529,387,Indian Restaurant,28.573390240440528-77.21048801686173
90,28.57339024,77.21048802,Navdanya Organic Cafe,28.57290268,77.20645142,398,Indian Restaurant,28.573390240440528-77.21048801686173
91,28.57339024,77.21048802,BijoliGrill,28.573012,77.206397,402,Indian Restaurant,28.573390240440528-77.21048801686173
92,28.57339024,77.21048802,Momo Mia,28.57329909,77.20695327,345,Northeast Indian Restaurant,28.573390240440528-77.21048801686173
93,28.57339024,77.21048802,Nagaland Cookhouse,28.573076,77.20634,407,Northeast Indian Restaurant,28.573390240440528-77.21048801686173
94,28.57329019,77.21661856,No. 1 Uncle’s Parantha,28.570341,77.21969,444,Indian Restaurant,28.57329019015063-77.21661856497613
95,28.57318986,77.22274908,Bengali Sweets,28.56953755,77.22094001,443,Indian Restaurant,28.5731898632245-77.22274908179077
96,28.57318986,77.22274908,Pind Balluchi,28.56952509,77.22430106,435,Indian Restaurant,28.5731898632245-77.22274908179077
97,28.57308926,77.22887957,Swagath Restaurant & Bar,28.57348863,77.23018335,134,Indian Restaurant,28.57308925966734-77.22887956721935
98,28.57308926,77.22887957,Sagar South Indian Restaurant,28.57339263,77.23029286,142,South Indian Restaurant,28.57308925966734-77.22887956721935
99,28.57308926,77.22887957,Sagar Ratna,28.57283888,77.23060369,170,Indian Restaurant,28.57308925966734-77.22887956721935
100,28.57308926,77.22887957,Colonel's Kababz,28.57400875,77.23048985,187,Indian Restaurant,28.57308925966734-77.22887956721935
101,28.57308926,77.22887957,Moets Stone,28.57323836,77.23053722,162,Italian Restaurant,28.57308925966734-77.22887956721935
102,28.57308926,77.22887957,Salim Kababs Khan Market Wale,28.57395961,77.22975751,129,Indian Restaurant,28.57308925966734-77.22887956721935
103,28.57308926,77.22887957,Liquid Kitchen,28.57390699,77.230313,167,Indian Restaurant,28.57308925966734-77.22887956721935
104,28.57308926,77.22887957,"Moti Mahal Delux, Defence Colony",28.57359984,77.23015045,136,Indian Restaurant,28.57308925966734-77.22887956721935
105,28.57308926,77.22887957,Rollmaal,28.57306074,77.23043674,152,Indian Restaurant,28.57308925966734-77.22887956721935
106,28.57308926,77.22887957,Kathputli,28.573695,77.23027,151,Rajasthani Restaurant,28.57308925966734-77.22887956721935
107,28.57298838,77.23501002,Bikanervala,28.57099185,77.23913168,460,Indian Restaurant,28.572988379484386-77.23501002117561
108,28.57298838,77.23501002,Sagar Ratna,28.57283888,77.23060369,431,Indian Restaurant,28.572988379484386-77.23501002117561
109,28.57298838,77.23501002,Swagath Restaurant & Bar,28.57348863,77.23018335,475,Indian Restaurant,28.572988379484386-77.23501002117561
110,28.57298838,77.23501002,Sagar South Indian Restaurant,28.57339263,77.23029286,463,South Indian Restaurant,28.572988379484386-77.23501002117561
111,28.57298838,77.23501002,Colonel's Kababz,28.57400875,77.23048985,456,Indian Restaurant,28.572988379484386-77.23501002117561
112,28.57298838,77.23501002,Moets Stone,28.57323836,77.23053722,438,Italian Restaurant,28.572988379484386-77.23501002117561
113,28.57298838,77.23501002,Rollmaal,28.57306074,77.23043674,447,Indian Restaurant,28.572988379484386-77.23501002117561
114,28.57298838,77.23501002,Bikanerwala,28.57099032,77.23912125,459,Indian Restaurant,28.572988379484386-77.23501002117561
115,28.57298838,77.23501002,Liquid Kitchen,28.57390699,77.230313,470,Indian Restaurant,28.572988379484386-77.23501002117561
116,28.57298838,77.23501002,"Moti Mahal Delux, Defence Colony",28.57359984,77.23015045,479,Indian Restaurant,28.572988379484386-77.23501002117561
117,28.57298838,77.23501002,Kathputli,28.573695,77.23027,470,Rajasthani Restaurant,28.572988379484386-77.23501002117561
118,28.57288722,77.24114044,Bikanervala,28.57099185,77.23913168,288,Indian Restaurant,28.57288722268086-77.24114044357319
119,28.57288722,77.24114044,Anandji Chole Bhature,28.5752,77.2413,257,Indian Restaurant,28.57288722268086-77.24114044357319
120,28.57288722,77.24114044,Bikanerwala,28.57099032,77.23912125,289,Indian Restaurant,28.57288722268086-77.24114044357319
121,28.57288722,77.24114044,Goli Vada Pao,28.57017076,77.23980524,329,Indian Restaurant,28.57288722268086-77.24114044357319
122,28.57288722,77.24114044,Mazaar,28.57689506,77.2420841,455,Indian Restaurant,28.57288722268086-77.24114044357319
123,28.57278579,77.24727083,Beliram Decchiwala,28.56891632,77.24746943,431,Indian Restaurant,28.572785789262024-77.24727083432586
124,28.57278579,77.24727083,Wah Ji Wah,28.57510672,77.24316739,477,Indian Restaurant,28.572785789262024-77.24727083432586
125,28.57268408,77.25340119,Indian Accent,28.57042285,77.25675338,413,Indian Restaurant,28.57268407923315-77.25340119334733
126,28.57268408,77.25340119,The Manor Hotel,28.57045905,77.25679071,413,Hotel,28.57268407923315-77.25340119334733
127,28.57268408,77.25340119,In-Q - The Manor,28.570335,77.256656,411,Indian Restaurant,28.57268407923315-77.25340119334733
128,28.57258209,77.25953152,Indian Accent,28.57042285,77.25675338,362,Indian Restaurant,28.5725820925995-77.25953152055129
129,28.57258209,77.25953152,The Manor Hotel,28.57045905,77.25679071,357,Hotel,28.5725820925995-77.25953152055129
130,28.57258209,77.25953152,In-Q - The Manor,28.570335,77.256656,376,Indian Restaurant,28.5725820925995-77.25953152055129
131,28.57247983,77.26566182,Ambar Parathe Wala,28.57183035,77.26544273,75,Indian Restaurant,28.572479829366383-77.26566181585147
132,28.57247983,77.26566182,Moti Mahal Delux,28.56967298,77.26791859,382,Indian Restaurant,28.572479829366383-77.26566181585147
133,28.57842513,77.18912793,Jamavar Kashmiri Restaurant @ The Leela,28.58014279,77.18926702,191,Indian Restaurant,28.578425126805683-77.18912793205128
134,28.57842513,77.18912793,The Leela Palace,28.57992321,77.1892907,167,Hotel,28.578425126805683-77.18912793205128
135,28.57842513,77.18912793,The Qube,28.58016234,77.18927013,193,Breakfast Spot,28.578425126805683-77.18912793205128
136,28.57832603,77.19525886,Rdbd Rang de Basanti Dhaba,28.57655213,77.1952519,197,Indian Restaurant,28.57832602557771-77.19525886038512
137,28.57832603,77.19525886,Haldiram's,28.57637436,77.19526594,217,Indian Restaurant,28.57832602557771-77.19525886038512
